No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
32,08:15:30,29.270,49.610,47.640,38.670,37.300,30.360,0.724,17.194,17.827,0.524,0.752,498.800,703.600,1.411,9.012,13.413,0.573,0.822,20.959,21.653,0.750,0.754,9.010,13.406,0.189,9.557,10.081,0.018,4155.000,55.050,41.397,9.557,51.479,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
33,08:16:00,29.280,49.800,47.840,38.600,37.230,30.360,0.726,17.182,17.831,0.525,0.754,499.300,704.700,1.412,9.013,13.438,0.573,0.824,20.946,21.657,0.751,0.753,9.021,13.445,0.189,9.559,10.094,0.018,4155.000,55.202,41.447,9.559,51.541,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
34,08:16:30,29.290,49.990,48.040,38.540,37.180,30.370,0.727,17.171,17.835,0.525,0.754,499.400,705.400,1.412,9.008,13.454,0.573,0.824,20.933,21.661,0.751,0.754,9.015,13.448,0.189,9.551,10.087,0.018,4155.000,55.279,41.463,9.551,51.550,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
35,08:17:00,29.300,50.190,48.240,38.500,37.140,30.370,0.727,17.159,17.837,0.525,0.755,499.500,706.000,1.413,9.002,13.468,0.573,0.825,20.920,21.663,0.751,0.754,9.008,13.467,0.189,9.542,10.093,0.018,4155.000,55.279,41.428,9.542,51.520,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
36,08:17:30,29.320,50.390,48.440,38.480,37.120,30.380,0.728,17.147,17.838,0.525,0.756,499.800,706.900,1.414,9.000,13.486,0.574,0.826,20.907,21.665,0.750,0.754,9.002,13.486,0.189,9.530,10.094,0.018,4155.000,55.355,41.432,9.530,51.525,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
37,08:18:00,29.330,50.600,48.640,38.470,37.110,30.380,0.730,17.135,17.839,0.526,0.758,500.600,708.400,1.415,9.005,13.515,0.574,0.828,20.894,21.665,0.751,0.753,9.013,13.522,0.189,9.526,10.099,0.018,4155.000,55.507,41.458,9.526,51.557,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
38,08:18:30,29.340,50.810,48.850,38.480,37.110,30.390,0.733,17.122,17.838,0.527,0.760,501.900,710.700,1.416,9.020,13.559,0.576,0.831,20.880,21.665,0.750,0.753,9.023,13.557,0.189,9.512,10.093,0.018,4155.000,55.735,41.493,9.512,51.586,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
39,08:19:00,29.350,51.030,49.060,38.500,37.120,30.390,0.737,17.109,17.837,0.529,0.763,503.800,713.900,1.417,9.046,13.619,0.578,0.834,20.866,21.664,0.750,0.754,9.051,13.610,0.189,9.505,10.087,0.018,4155.000,56.039,41.533,9.505,51.619,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
40,08:19:30,29.370,51.250,49.270,38.530,37.150,30.400,0.742,17.097,17.836,0.531,0.768,506.300,717.900,1.418,9.082,13.693,0.581,0.839,20.852,21.662,0.750,0.753,9.079,13.698,0.189,9.487,10.096,0.018,4155.000,56.419,41.582,9.487,51.677,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
41,08:20:00,29.380,51.470,49.480,38.570,37.180,30.410,0.747,17.084,17.834,0.534,0.773,509.100,722.400,1.419,9.125,13.777,0.584,0.844,20.838,21.660,0.750,0.754,9.123,13.786,0.189,9.481,10.097,0.018,4155.000,56.799,41.601,9.481,51.698,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
42,08:20:30,29.390,51.680,49.680,38.610,37.210,30.410,0.753,17.072,17.831,0.537,0.778,512.100,727.100,1.420,9.171,13.866,0.587,0.850,20.825,21.657,0.750,0.753,9.168,13.873,0.189,9.472,10.095,0.018,4155.000,57.255,41.664,9.472,51.759,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
43,08:21:00,29.400,51.880,49.870,38.650,37.250,30.420,0.759,17.060,17.829,0.540,0.782,515.000,731.700,1.421,9.215,13.951,0.590,0.855,20.812,21.655,0.750,0.753,9.212,13.942,0.189,9.465,10.082,0.018,4155.000,57.712,41.732,9.465,51.814,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
44,08:21:30,29.410,52.060,50.040,38.690,37.280,30.420,0.764,17.050,17.827,0.543,0.787,517.600,735.800,1.422,9.253,14.027,0.593,0.860,20.800,21.653,0.750,0.753,9.258,14.030,0.189,9.464,10.089,0.018,4155.000,58.092,41.773,9.464,51.861,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
45,08:22:00,29.430,52.220,50.200,38.720,37.310,30.430,0.768,17.040,17.825,0.545,0.790,519.600,739.100,1.423,9.283,14.089,0.595,0.864,20.790,21.651,0.750,0.753,9.287,14.082,0.189,9.457,10.081,0.018,4155.000,58.396,41.804,9.457,51.885,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.42x
