No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
26,08:12:30,29.510,49.470,47.430,39.870,38.440,30.560,0.776,17.204,17.757,0.547,0.797,520.400,746.100,1.434,9.409,14.154,0.598,0.871,20.970,21.576,0.750,0.753,9.411,14.152,0.189,9.568,10.036,0.018,4155.000,59.004,41.843,9.568,51.879,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
27,08:13:00,29.530,49.780,47.740,39.780,38.350,30.560,0.782,17.186,17.763,0.550,0.802,523.000,750.400,1.435,9.444,14.241,0.601,0.876,20.950,21.582,0.750,0.753,9.452,14.246,0.189,9.563,10.045,0.018,4155.000,59.461,41.925,9.563,51.970,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
28,08:13:30,29.550,50.060,48.030,39.690,38.260,30.570,0.788,17.169,17.768,0.553,0.807,526.100,755.200,1.436,9.487,14.338,0.604,0.882,20.931,21.588,0.750,0.753,9.494,14.339,0.189,9.549,10.046,0.018,4155.000,59.917,41.978,9.549,52.024,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
29,08:14:00,29.570,50.320,48.290,39.610,38.190,30.570,0.794,17.153,17.773,0.556,0.812,529.200,760.200,1.437,9.533,14.438,0.607,0.888,20.914,21.593,0.751,0.753,9.537,14.432,0.189,9.535,10.044,0.018,4155.000,60.373,42.020,9.535,52.064,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
30,08:14:30,29.590,50.550,48.540,39.530,38.120,30.580,0.800,17.139,17.777,0.559,0.818,532.300,765.100,1.437,9.578,14.535,0.611,0.894,20.898,21.598,0.750,0.753,9.581,14.542,0.189,9.523,10.056,0.018,4155.000,60.829,42.066,9.523,52.122,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
31,08:15:00,29.600,50.770,48.770,39.470,38.070,30.580,0.805,17.126,17.780,0.562,0.822,534.900,769.400,1.438,9.617,14.621,0.614,0.899,20.884,21.602,0.750,0.753,9.625,14.615,0.189,9.520,10.051,0.018,4155.000,61.209,42.092,9.520,52.143,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
32,08:15:30,29.620,50.980,48.990,39.410,38.020,30.590,0.810,17.113,17.784,0.564,0.826,537.100,773.000,1.439,9.646,14.692,0.616,0.903,20.870,21.605,0.750,0.753,9.652,14.690,0.189,9.508,10.055,0.018,4155.000,61.590,42.157,9.508,52.211,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
33,08:16:00,29.640,51.180,49.200,39.370,37.990,30.590,0.813,17.101,17.786,0.565,0.829,538.600,775.700,1.440,9.664,14.745,0.618,0.906,20.856,21.608,0.750,0.753,9.662,14.745,0.189,9.492,10.057,0.018,4155.000,61.818,42.165,9.492,52.223,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
34,08:16:30,29.650,51.380,49.410,39.340,37.960,30.600,0.816,17.089,17.788,0.566,0.831,539.500,777.500,1.441,9.672,14.781,0.619,0.908,20.843,21.609,0.750,0.753,9.672,14.782,0.189,9.486,10.059,0.018,4155.000,62.046,42.223,9.486,52.282,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
35,08:17:00,29.670,51.580,49.620,39.320,37.940,30.600,0.817,17.076,17.789,0.566,0.832,539.900,778.700,1.442,9.672,14.805,0.619,0.910,20.830,21.611,0.750,0.753,9.665,14.800,0.189,9.472,10.056,0.018,4155.000,62.122,42.210,9.472,52.266,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
36,08:17:30,29.680,51.780,49.820,39.310,37.940,30.610,0.818,17.064,17.789,0.567,0.833,540.200,779.500,1.443,9.668,14.821,0.619,0.911,20.816,21.611,0.750,0.753,9.675,14.818,0.189,9.476,10.058,0.018,4155.000,62.198,42.218,9.476,52.276,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
37,08:18:00,29.700,51.990,50.030,39.320,37.940,30.610,0.819,17.052,17.789,0.567,0.834,540.400,780.400,1.444,9.663,14.838,0.619,0.912,20.803,21.611,0.750,0.753,9.668,14.836,0.189,9.466,10.059,0.018,4155.000,62.274,42.221,9.466,52.279,ON,Mostly clear; Hybrid loop operating; Ceff=1.44x
38,08:18:30,29.710,52.210,50.240,39.330,37.960,30.620,0.821,17.039,17.788,0.567,0.835,541.000,781.700,1.445,9.664,14.861,0.620,0.913,20.789,21.610,0.750,0.753,9.661,14.853,0.189,9.449,10.053,0.018,4155.000,62.426,42.254,9.449,52.307,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
